index: 1,  smile: C, fitness: 0.0, logP: 0.0, sas: 0.0, ringP: 0.0, discrm: [0.]
index: 36,  smile: CCC, fitness: 0.693198025226593, logP: 0.693198025226593, sas: 0.693198025226593, ringP: 0.693198025226593, discrm: [0.693198]
index: 37,  smile: CCC, fitness: 0.7664772868156433, logP: 0.7664772868156433, sas: 0.7664772868156433, ringP: 0.7664772868156433, discrm: [0.7664773]
index: 38,  smile: CCC, fitness: 0.6125975251197815, logP: 0.6125975251197815, sas: 0.6125975251197815, ringP: 0.6125975251197815, discrm: [0.6125975]
index: 39,  smile: CC, fitness: 0.6696882843971252, logP: 0.6696882843971252, sas: 0.6696882843971252, ringP: 0.6696882843971252, discrm: [0.6696883]
index: 40,  smile: CC, fitness: 0.7534533739089966, logP: 0.7534533739089966, sas: 0.7534533739089966, ringP: 0.7534533739089966, discrm: [0.7534534]
index: 41,  smile: C=O, fitness: 0.7221130728721619, logP: 0.7221130728721619, sas: 0.7221130728721619, ringP: 0.7221130728721619, discrm: [0.7221131]
index: 42,  smile: CNNNF, fitness: 0.6984090805053711, logP: 0.6984090805053711, sas: 0.6984090805053711, ringP: 0.6984090805053711, discrm: [0.6984091]
index: 43,  smile: C=CC=C=NCC=O, fitness: 0.7961617112159729, logP: 0.7961617112159729, sas: 0.7961617112159729, ringP: 0.7961617112159729, discrm: [0.7961617]
index: 44,  smile: OF, fitness: 0.733180582523346, logP: 0.733180582523346, sas: 0.733180582523346, ringP: 0.733180582523346, discrm: [0.7331806]
index: 45,  smile: OF, fitness: 0.7013885974884033, logP: 0.7013885974884033, sas: 0.7013885974884033, ringP: 0.7013885974884033, discrm: [0.7013886]
index: 46,  smile: C#N, fitness: 0.7022301554679871, logP: 0.7022301554679871, sas: 0.7022301554679871, ringP: 0.7022301554679871, discrm: [0.70223016]
index: 47,  smile: COCON=NCN=O, fitness: 0.7210561037063599, logP: 0.7210561037063599, sas: 0.7210561037063599, ringP: 0.7210561037063599, discrm: [0.7210561]
